method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,gsplat_cfg_file_path,plot_series
colmap,100,42,,66763,,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,27.826139450073242,0.13981762528419495,0.8659626841545105,1000000,0.0007070667925290763,0.05946106091141701,,,0.8418353775478633,0.1691927745954243,66763,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000,0.0595,0.002889,100,1.016141,,,,187.39341807365417,7726,7726,0,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_minfarthestpose_sharedcam,bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000_val_step14999.json,66763,,colmap |  |  | 
vggt,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,18.664011001586914,0.373970091342926,0.595427930355072,1000000,0.023722030222415924,0.7308099269866943,,,0.3694203145477662,0.3412105901612084,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000,0.7308,0.098078,100,7.817163,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_minfarthestpose,bonsai_2_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000_val_step14999.json,100000,,vggt |  |  | 
colmap,100,42,,206613,,,,,0,10,minfarthestpose,100,GT Eval,,,GT Points,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,GT Pcd,,,Shared Cam,,,,,,gsplat,,indoor,27.992141723632812,0.12570872902870178,0.869906485080719,1000000,0.0007070667925290763,0.05946106091141701,,,0.8559250052754487,0.16266042622397114,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_gtpcd_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_gtpcd_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_gtpcd_steps15000,0.0595,0.002889,100,1.016141,,,,187.39341807365417,7726,7726,0,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_minfarthestpose_sharedcam,bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_gtpcd_steps15000_val_step14999.json,206613,,colmap |  |  | GT Points
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,GT Points,,False,,,,,0.0,,False,1.0,1.0,vggt,stump,,,15000,15000,,MCMC,,GT Pcd,,,,,,,,,gsplat,,outdoor,25.761587142944336,0.3115990459918976,0.7504220008850098,1000000,0.0,0.0,,,0.6299973623639503,0.27127683415896264,32049,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,stump_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000,0.8558,0.162829,100,4.685178,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/stump_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,stump_2_n100_s42_c0.0_p100000_random_farthestpose,stump_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000_val_step14999.json,32049,,vggt | GT Extrinsics | GT Intrinsics | GT Points
colmap,87,42,,10313,,,,,0,10,farthestpose,87,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,22.786890029907227,0.06574113667011261,0.8507940173149109,1000000,0.11692719161510468,10.478508949279785,0.02123933658003807,0.0218884889036417,0.7853716059773675,0.15242566000284324,10313,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000,10.4784,0.403756,87,0.885202,,,,47.262017250061035,6778,6778,0,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000_val_step14999.json,10313,,colmap |  |  | 
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.5725154876709,0.09495189040899277,0.7736919522285461,1000000,0.00519891083240509,0.29695671796798706,0.08478271961212158,0.019924363121390343,0.681244413590493,0.1931450915679226,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000_val_step14999.json,100000,,vggt |  |  | 
colmap,87,42,,10313,,,,,0,10,farthestpose,87,GT Eval,,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,23.624719619750977,0.06031637266278267,0.8512656688690186,1000000,0.11692719161510468,10.478508949279785,0.020844323560595512,0.0214671790599823,0.804511408132148,0.1501058857483752,10313,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtint_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtint_steps15000,10.4784,0.403756,87,0.885202,,,,47.262017250061035,6778,6778,0,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtint_steps15000_val_step14999.json,10313,,colmap |  | GT Intrinsics | 
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.92620849609375,0.09569153189659119,0.7787125110626221,1000000,0.00519891083240509,0.29695671796798706,0.0868031457066536,0.020408853888511658,0.69027371461551,0.19139432476893514,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtint_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtint_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtint_steps15000_val_step14999.json,100000,,vggt |  | GT Intrinsics | 
colmap,87,42,,10313,,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,,,,False,,,,,0.0,,False,1.0,1.0,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,24.548786163330078,0.050848063081502914,0.8897243738174438,1000000,0.0,0.0,0.01825157180428505,0.018820462748408318,0.8499588578058344,0.1288114344897566,10313,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_steps15000,10.4784,0.403756,87,0.885202,,,,47.262017250061035,6778,6778,0,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_steps15000_val_step14999.json,10313,,colmap | GT Extrinsics |  | 
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,,,,False,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,24.955116271972656,0.06210341304540634,0.8888888359069824,1000000,0.0,0.0,0.07773815095424652,0.018357817083597183,0.8500471238949765,0.1328773182244372,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000_val_step14999.json,100000,,vggt | GT Extrinsics |  | 
colmap,87,42,,10313,,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,33.116729736328125,0.033978622406721115,0.9795733690261841,1000000,0.0,0.0,0.017630616202950478,0.01815767213702202,1.0715809865643484,0.059129427789242434,10313,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000,10.4784,0.403756,87,0.885202,,,,47.262017250061035,6778,6778,0,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000_val_step14999.json,10313,,colmap | GT Extrinsics | GT Intrinsics | 
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,33.284175872802734,0.031800854951143265,0.9806314706802368,1000000,0.0,0.0,0.07379835844039917,0.017447061836719513,1.0766449147391195,0.05714705373990323,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,100000,,vggt | GT Extrinsics | GT Intrinsics | 
colmap,87,42,,5146,,,,,0,10,farthestpose,87,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,22.400592803955078,0.14908459782600403,0.7505561709403992,1000000,0.0035610124468803406,0.2434609830379486,0.031018691137433052,0.029304901137948036,0.6681527490736681,0.21809391039233772,5146,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000/stats/val_step14999.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000,0.2458,0.011214,80,0.865091,,,,25.509971380233765,983,983,0,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000_val_step14999.json,5146,,colmap |  |  | 
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.870609283447266,0.17614904046058655,0.701298177242279,1000000,0.008744901046156883,0.48666468262672424,0.1624460220336914,0.030732251703739166,0.5943074305774795,0.24362291487022897,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,,,,,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000_val_step14999.json,100000,,vggt |  |  | 
colmap,87,42,,5146,,,,,0,10,farthestpose,87,GT Eval,,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,24.370038986206055,0.13203038275241852,0.8015950918197632,1000000,0.0035610124468803406,0.2434609830379486,0.029545651748776436,0.02763986773788929,0.7449985900778829,0.19370431881229525,5146,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtint_steps15000/stats/val_step14999.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtint_steps15000,0.2458,0.011214,80,0.865091,,,,25.509971380233765,983,983,0,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtint_steps15000_val_step14999.json,5146,,colmap |  | GT Intrinsics | 
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,20.932992935180664,0.1692238599061966,0.7053824663162231,1000000,0.008744901046156883,0.48666468262672424,0.1660316437482834,0.031159553676843643,0.6021259593413665,0.24002582355243118,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtint_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtint_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,,,,,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtint_steps15000_val_step14999.json,100000,,vggt |  | GT Intrinsics | 
colmap,87,42,,5146,,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,22.78916358947754,0.14084778726100922,0.7600504755973816,1000000,0.0,0.0,0.030202526599168777,0.02860787883400917,0.685985180272771,0.21198513416310782,5146,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_steps15000/stats/val_step14999.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_steps15000,0.2458,0.011214,80,0.865091,,,,25.509971380233765,983,983,0,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_steps15000_val_step14999.json,5146,,colmap | GT Extrinsics |  | 
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,,,,False,,,,,0.0,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,26.162757873535156,0.11005454510450363,0.8315536975860596,1000000,0.0,0.0,0.13107171654701233,0.024846132844686508,0.8092820723677239,0.17429871332124475,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,,,,,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000_val_step14999.json,100000,,vggt | GT Extrinsics |  | 
colmap,87,42,,5146,,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,29.063879013061523,0.11321047693490982,0.8914411664009094,1000000,0.0,0.0,0.02734973654150963,0.025675009936094284,0.8960803434339879,0.1479778988143626,5146,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000,0.2458,0.011214,80,0.865091,,,,25.509971380233765,983,983,0,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000_val_step14999.json,5146,,colmap | GT Extrinsics | GT Intrinsics | 
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,False,,,,,0.0,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,29.814409255981445,0.09409879148006439,0.8928140997886658,1000000,0.0,0.0,0.12867121398448944,0.02436995878815651,0.9225792733588103,0.14084500989692925,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,,,,,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p100000_random_farthestpose,ship_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,100000,,vggt | GT Extrinsics | GT Intrinsics | 
colmap,87,42,,3866,,,,,0,10,farthestpose,87,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,22.46944808959961,0.09344673901796341,0.898908793926239,1000000,0.0029796594753861427,0.1518741101026535,0.016105035319924355,0.016583064571022987,0.7905281241196481,0.13901942819483265,3866,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000/stats/val_step14999.json,drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000,0.1528,0.009899,79,0.837402,,,,70.49110555648804,6778,6778,0,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_steps15000_val_step14999.json,3866,,colmap |  |  | 
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,synthetic,19.667821884155273,0.10607661306858063,0.8355606198310852,1000000,0.0029657548293471336,0.1723455935716629,0.08291950821876526,0.0187007337808609,0.6938042229572777,0.1741275835483121,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000/stats/val_step14999.json,drums_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000,0.173,0.01002,87,3.881439,0.0626,0.0172,0.1433,,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,drums_1_n87_s42_c0.0_p100000_random_farthestpose,drums_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_steps15000_val_step14999.json,100000,,vggt |  |  | 
